Method,n,total_time_s,samples_per_second,time_per_sample_s_per_n
Python,100,2.9449997236952184e-05,3395586.0571194105,2.9449997236952183e-07
Python,1000,0.0002954541007056832,3384620.4794975943,2.954541007056832e-07
Python,10000,0.002698370802681893,3705939.8916046177,2.698370802681893e-07
Python,100000,0.025689279200742023,3892674.4194952557,2.568927920074202e-07
Python,1000000,0.25814364170073534,3873812.24426707,2.5814364170073536e-07
Python,10000000,2.7326430124987384,3659460.805623478,2.7326430124987386e-07
Python,100000000,26.962216745800106,3708893.854789479,2.6962216745800107e-07
NumPy,100,1.826660009101033e-05,5474472.507295635,1.8266600091010331e-07
NumPy,1000,0.0001116333995014429,8957892.57037787,1.116333995014429e-07
NumPy,10000,0.0012350831995718182,8096620.538168462,1.2350831995718182e-07
NumPy,100000,0.0018762081977911293,53298988.94895064,1.8762081977911292e-08
NumPy,1000000,0.0109863750054501,91021833.8172438,1.09863750054501e-08
NumPy,10000000,0.0818508416065015,122173453.61059415,8.18508416065015e-09
NumPy,100000000,0.9964500667992979,100356258.0122158,9.964500667992979e-09
Numba,100,1.3999990187585353e-06,71428621.49194655,1.3999990187585354e-08
Numba,1000,9.78340394794941e-06,102213913.0020895,9.78340394794941e-09
Numba,10000,0.00010290000354871154,97181726.48328558,1.0290000354871155e-08
Numba,100000,0.0009315000032074749,107353730.17248052,9.31500003207475e-09
Numba,1000000,0.009059516596607864,110381165.41167638,9.059516596607864e-09
Numba,10000000,0.09349528339225799,106957267.11737059,9.3495283392258e-09
Numba,100000000,0.9045499418047257,110552215.39286551,9.045499418047258e-09
Parallel,100,6.560840411111713e-05,1524194.9770739102,6.560840411111713e-07
Parallel,1000,5.518320249393582e-05,18121456.43613003,5.518320249393582e-08
Parallel,10000,6.098339799791575e-05,163979055.41999766,6.098339799791575e-09
Parallel,100000,0.0001408749958500266,709849177.9652543,1.408749958500266e-09
Parallel,1000000,0.0011679667979478836,856188721.9371295,1.1679667979478837e-09
Parallel,10000000,0.009499016602057963,1052740553.9888728,9.499016602057963e-10
Parallel,100000000,0.0847545168013312,1179878120.6481888,8.47545168013312e-10
C++,100,0.005056633392814547,19776.00356436746,5.056633392814547e-05
C++,1000,0.00498334999429062,200668.22541978612,4.9833499942906205e-06
C++,10000,0.004714991594664752,2120894.5550010097,4.714991594664752e-07
C++,100000,0.0055107749998569485,18146267.993629906,5.5107749998569486e-08
C++,1000000,0.014575875003356487,68606515.88804947,1.4575875003356488e-08
C++,10000000,0.10003640820505097,99963605.04569863,1.0003640820505097e-08
C++,100000000,0.9296455750009045,107567876.06922424,9.296455750009044e-09
Cython,100,1.6500009223818779e-06,60606026.72612076,1.650000922381878e-08
Cython,1000,1.434159930795431e-05,69727230.45228073,1.4341599307954311e-08
Cython,10000,0.0001423249952495098,70261727.27052625,1.423249952495098e-08
Cython,100000,0.0015326082007959484,65248248.0180295,1.5326082007959483e-08
Cython,1000000,0.01357805000152439,73648277.91087316,1.357805000152439e-08
Cython,10000000,0.1340654083993286,74590456.40031095,1.340654083993286e-08
Cython,100000000,1.317478666594252,75902557.31313281,1.317478666594252e-08
